X;Y;region;departement;commune;site;start;end;period;theme;type
546450;6689991;Centre;Indre-et-Loire;Bléré;Le Chemin d'Espagne;2004-07-19;2004-08-13;#Antiquité#Moyen Âge#Moderne, Contemporain;#Échange et transport;fouille
1040007;6728515;Alsace;Haut-Rhin;Hégenheim;Rue de Hésingue;2004-07-19;2004-08-13;#Moyen Âge;;fouille
573931;6690162;Centre;Loir-et-Cher;Thésée;La Pichonnerie;2004-07-25;2004-09-10;#Néolithique#Protohistoire#Antiquité#Moyen Âge;#Habitats, architecture, édifices;fouille
704019,02;6251965,71;Languedoc-Roussillon;Hérault;Puisserguier;Nécropole de La Rouquette;2003-07-20;2004-09-15;#Protohistoire;#Cultes et pratiques funéraires;fouille
774635;6906765;Champagne-Ardenne;Marne;Reims;9-11, boulevard du Général Leclerc;2004-05-27;2004-09-16;#Antiquité#Moderne, Contemporain;#Échange et transport#Habitats, architecture, édifices;fouille
1028113;6811627;Alsace;Bas-Rhin;Dambach-la-Ville;Plateforme départementale d'activités de Dambach-la-Ville;2004-05-24;2004-09-30;#Antiquité;#Industrie, artisanat;fouille
1030804,284;6811500,037;Alsace;Bas-Rhin;Dambach-la-Ville;Wilmstein;2004-05-24;2004-09-30;#Antiquité;;fouille
710922,25064313;7056078,0962892;Nord-Pas-de-Calais;Nord;Villeneuve-d'Ascq;La Haute Borne, lot B;2004-08-23;2004-09-30;#Protohistoire#Antiquité;;fouille
774560;6907450;Champagne-Ardenne;Marne;Reims;17-19  rue Mont d'Arène et 6-8  rue Maucroix;2004-02-23;2004-10-01;#Protohistoire#Antiquité;#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices;fouille
787050;6802020;Champagne-Ardenne;Aube;Bouranton;La Louvière;2004-08-09;2004-10-03;#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
701764;6808822;Ile-de-France;Seine-et-Marne;Marolles-sur-Seine;La Croix Saint-Jacques (2);2004-08-09;2004-10-08;#Protohistoire;;fouille
543159;6690743;Centre;Indre-et-Loire;Athée-sur-Cher;Pièce de la Colasserie;2004-08-30;2004-10-08;#Protohistoire#Antiquité;#Habitats, architecture, édifices;fouille
650289;6862248;Ile-de-France;Paris;Paris;60 quai des Tuileries - Musée de l'Orangerie;2003-09-29;2004-10-18;#Moderne, Contemporain;;fouille
929013;6686536;Franche-Comté;Doubs;Besançon;Collège Lumière (1);2003-11-01;2004-10-29;#Antiquité;;fouille
929023;6686536;Franche-Comté;Doubs;Besançon;Collège Lumière (3);2003-11-01;2004-10-29;#Protohistoire#Antiquité;#Arts, biens de prestige#Habitats, architecture, édifices;fouille
929013;6686546;Franche-Comté;Doubs;Besançon;Collège Lumière;2003-11-01 00:00:00;2004-10-29;#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices#Industrie, artisanat;fouille
602730;6471186;Limousin;Corrèze;Naves;Les Arènes de Tintignac  - fouille 2004;2004-09-01;2004-10-29;#Protohistoire#Antiquité;;fouille
636357;6280730;Midi-Pyrénées;Tarn;Castres;Empy Neuf;2004-10-11;2004-10-29;#Protohistoire#Antiquité#Moderne, Contemporain;;fouille
1043030,621;6821169,254;Alsace;Bas-Rhin;Osthouse;Lotissement Zorn de Bulach;2004-09-13;2004-11-22;#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
893052,598;6247663,967;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;Rue Longue-des-Capucins;2004-09-30 00:00:00;2004-11-22 00:00:00;#Paléolithique, Mésolithique#Antiquité;#Habitats, architecture, édifices#Industrie, artisanat;fouille
679090;6687533;Centre;Cher;Neuvy-Deux-Clochers;Tour de Vesvre 2;2003-09-01;2004-11-30;#Moyen Âge;;fouille
776880;6905920;Champagne-Ardenne;Marne;Reims;Place du 11 Novembre;2004-11-01;2004-11-30;#Antiquité;#Cultes et pratiques funéraires;fouille
700391,662;6874035,536;Ile-de-France;Seine-et-Marne;Changis-sur-Marne;5000 ans de vie rurale à Changis-sur-Marne;1995-07-24;2004-12-04;#Néolithique#Protohistoire;;fouille
700948;6873503;Ile-de-France;Seine-et-Marne;Changis-sur-Marne;La Pelle à four;2004-05-15;2004-12-07;#Protohistoire;;fouille
701095;6873399;Ile-de-France;Seine-et-Marne;Changis-sur-Marne;La Pelle à four sud;2004-09-01;2004-12-07;#Protohistoire;;fouille
430765;6802026;Pays de la Loire;Mayenne;Moulay;La Garde;2004-11-02;2004-12-09;#Protohistoire#Antiquité;;fouille
380882;6568197;Poitou-Charentes;Charente-Maritime;Aytré;ZAC Bongraine;2004-09-13;2004-12-17;#Antiquité;;fouille
355009;6797669;Bretagne;Ille-et-Vilaine;Betton;La Touche Nicoul;2004-11-29;2004-12-17;;;fouille
352069;6789660;Bretagne;Ille-et-Vilaine;Rennes;La visitation, un quartier de la ville antique de Rennes;2004-07-17;2004-12-20;#Antiquité;;fouille
695131,682;7052138,23;Nord-Pas-de-Calais;Nord;Wavrin;Le Château du Bourg;2004-09-13;2004-12-20;#Protohistoire#Antiquité#Moyen Âge;;fouille
655719,768;6878685,925;Ile-de-France;Val-d'Oise;Villiers-le-Bel;69, rue Gambetta;2004-10-21;2004-12-24;#Protohistoire#Moyen Âge;;fouille
664121;6838511;Ile-de-France;Essonne;Tigery;ZAC de la Pépinière;2004-11-08;2004-12-24;#Moyen Âge#Moderne, Contemporain;;fouille
617539;6756326;Centre;Loiret;Orléans;8-10 rue Porte Madeleine;2004-11-22;2004-12-24;#Protohistoire#Antiquité#Moderne, Contemporain;#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace;fouille
617549;6756326;Centre;Loiret;Orléans;8-10, rue Porte-Madeleine;2004-11-22;2004-12-28;#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
935500;6890900;Lorraine;Moselle;Peltre;Les Rouaux;2004-07-28;2004-12-31;#Antiquité;;fouille
543457;6690626;Centre;Indre-et-Loire;Athée-sur-Cher;Bussière;2004-11-29;2004-12-31;#Antiquité#Moyen Âge;#Habitats, architecture, édifices;fouille
666303;6835017;Ile-de-France;Seine-et-Marne;Lieusaint;ZAC du Carré Sénart, bureaux, parkings;2004-12-01;2004-12-31;#Néolithique#Protohistoire#Antiquité;#Cultes et pratiques funéraires#Habitats, architecture, édifices;fouille
212630;6817408;Bretagne;Finistère;Carhaix-Plouguer;Réserve Archéologique;2000-01-01;2005-01-01;#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
897608,54;6272726,15;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Aix-en-Provence;ZAC Sextius-Mirabeau îlot A;2004-05-02;2005-01-01;#Néolithique;;fouille
694020;151800;Languedoc-Roussillon;Hérault;Saint-André-de-Sangonis;Le Lagarel;2004-09-10;2005-01-15;#Néolithique#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
537819;6691502;Centre;Indre-et-Loire;Athée-sur-Cher;Le Brandon;2005-01-01;2005-02-01;#Protohistoire#Antiquité#Moderne, Contemporain;#Habitats, architecture, édifices;fouille
611016,366;6917131,949;Picardie;Oise;Sérifontaine;La Vigne;2005-01-31;2005-02-04;#Néolithique#Protohistoire;;fouille
892265,598;6246576,33;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;23 quai de Rive Neuve;2004-12-15 00:00:00;2005-02-14 00:00:00;#Antiquité#Moderne, Contemporain;#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace;fouille
538558;6691486;Centre;Indre-et-Loire;Athée-sur-Cher;La Tour du Brandon;2005-02-01;2005-03-01;#Protohistoire#Antiquité#Moderne, Contemporain;#Habitats, architecture, édifices;fouille
544653;6690256;Centre;Indre-et-Loire;Bléré;Les Fossés Blancs;2005-01-12;2005-03-07;#Protohistoire#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices;fouille
496136,134;6612599,318;Poitou-Charentes;Vienne;Poitiers;15  rue Arthur-Ranc;2005-02-14;2005-03-11;#Antiquité;;fouille
782879;6549464;Rhône-Alpes;Loire;Roanne;Centre ancien, place du Maréchal de Lattre de Tassigny;2004-09-06;2005-03-18;#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
538019;6691490;Centre;Indre-et-Loire;Athée-sur-Cher;L'Érable;2005-02-07;2005-03-25;#Protohistoire#Antiquité;#Habitats, architecture, édifices;fouille
341676;6840451;Bretagne;Ille-et-Vilaine;Lillemer;Les Hauts;2005-02-24;2005-03-25;#Néolithique;;fouille
572929;6689821;Centre;Loir-et-Cher;Mareuil-sur-Cher;Bagneux;2005-03-01;2005-03-30;#Néolithique;#Peuplement, occupation espace;fouille
573180;6689969;Centre;Loir-et-Cher;Mareuil-sur-Cher;La Croix de Bagneux;2004-09-13;2005-03-31;#Néolithique;#Habitats, architecture, édifices#Industrie, artisanat;fouille
892000,229;6247004,17;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;Collège du Vieux-Port;2005-01-03;2005-04-08;#Antiquité;#Habitats, architecture, édifices;fouille
892383,174;6247227,271;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;Hôtel-Dieu (place Daviel et rue des Belles-écuelles);2005-01-03 00:00:00;2005-04-08 00:00:00;#Paléolithique, Mésolithique#Antiquité#Moyen Âge#Moderne, Contemporain;#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices;fouille
892000,229;6247004,17;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;Collège Vieux-Port;2005-03-01 00:00:00;2005-04-08 00:00:00;#Antiquité#Moyen Âge#Moderne, Contemporain;#Échange et transport#Habitats, architecture, édifices#Industrie, artisanat;fouille
541766;6691479;Centre;Indre-et-Loire;Athée-sur-Cher;Touche Morin;2005-01-20;2005-04-13;#Néolithique#Protohistoire#Antiquité;#Habitats, architecture, édifices;fouille
433922;6806290;Pays de la Loire;Mayenne;Aron;Le Panveau, La Davière;2005-03-07;2005-04-15;#Protohistoire;;fouille
548443;6689325;Centre;Indre-et-Loire;Bléré;Les Pentes du Vaugerin;2005-03-14;2005-04-15;#Protohistoire#Antiquité;#Habitats, architecture, édifices;fouille
